Lúpulo,Aroma/Sabor,Alpha,Tipo,Sustitutos
Admiral,naranja • té • fresco • sap,13%-16.2%,Amargo,Chinook | Northdown | Challenger | Centennial | Cascade (US) | Amarillo | Target
African Queen,fruto oscuro • lemongrass,10%–17.0%,Propósito doble,Amarillo | Cascade | Mosaic | Simco | Citra
Ahtanum,pomelo • floral • cedro,4%-6.3%,Aroma,Cascade Amarillo
Amarillo,pomelo • naranja • limón • melón • albaricoque • melocotón,8%-11%,Aroma,Cascade (US) | Centennial | Ahtanum™ | Chinook | Summer
Amethyst,terroso • cítrico • picante,2%-6%,Aroma,Saaz | Loral
Apollo,limpio • pomelo,15%-20%,Amargo,Nugget | Columbus | Zeus
Apolon,leve,10%-12%,Propósito doble,Syrian Goldings | Brewers gold | Syrian Aurora
Aquila,aroma,6.7%-8.9%,Aroma,Cluster | Galena
Aramis,"verde • hierbas • picantes
• cítricos",7.9%-8.3%,Aroma,Willamette | Challenger | Ahtanum
Archer,albaricoque • melocotón • floral • lima,4%%-6%,Aroma,Willamette | Challenger | Strisselspalt
Ariana,baya • cítricos • madera,9%-13%,Propósito doble,Mandarina Bavaria | Hallertau Blanc
Atlas (Styrian Atlas),lima • flor • pino,9%-11%,Aroma,"Brewers gold | Syrian Aurora
| Apolon"
Azacca,mango • papaya • naranja • pomelo • limón • pino • picante • piña • hierba • frutas tropicales • cítricos,14%-16%,Propósito doble,Citra | Galaxy | Mosaic
Banner,amargo • aroma,8.4%-13%,Amargo,Aquila | Cluster | Galena
Belma,naranja • tropical,"9.4%-
12.1%",Propósito doble,Summer | Huell Melon
Bitter Gold,pera • sandía • frutas de hueso • hierba fresca cortada,"15.4%-
18.8%",Amargo,Galena | Nugget
Boadicea,floral • flor de huerta • fruto maduro,7%-10%,Aroma,Green Bullet | Cascade | Columbus | Chinook
Bouclier,hierbas • hierba • picante,5.2%-9%,Propósito doble,Chinook
Bramling Cross,grosella negra •  vainilla,5%-7.8%,Propósito doble,Whitbread Golding
Bravo,naranja • vainilla,14%-17%,Amargo,Columbus | Zeus
Brewer’s Gold,grosella negra • picante,"8.1%-
13.1%",Amargo,Cascade | Bullion
"Brewer’s Gold, UK",picante • grosella negra,"7.1%-
11.3%",Amargo,Bullion | Cascade | Galena | Northern Brewer (US) | Northdown
"Bullion, UK",zesty • picante • fruta roja oscura,5.3%-9.5%,Amargo,Columbus | Northern Brewer | Galena | Chinook | Brewer’s Gold
"Bullion, USA",grosella negra • zesty,"6.7%-
12.9%",Amargo,Columbus | Northern Brewer | Galena | Chinook | Brewer’s Gold
Calicross,floral • afrutado • terroso,5.8%-7.9%,Propósito doble,Cluster
Calypso,frutas • manzana • pera • cítricos,12%-14%,Propósito doble,Galena | Cascade | Huell Melon
Canadian Redvine,cereza • cáscara de pomelo,5%-6%,Aroma,Newport | Magnum | Galena
"Cascade, Cryo",pomelo • floral • pino,11%-13%,Propósito doble,Centennial | Amarillo | Columbus | Ahtanum
"Cascade, Hop Extract",pomelo • floral • pino,38.80%,Propósito doble,Centennial | Amarillo | Columbus | Ahtanum
"Cascade, USA",pomelo • floral • pino,4.5%-8.9%,Propósito doble,Centennial | Amarillo | Columbus | Ahtanum
Cashmere,melón • limón • lima • picante,7.7%-9.1%,Propósito doble,Cascade
Cekin,leve,6%-8%,Aroma,Styrian Goldings | Brewers gold | Styrian Aurora
Centennial,limón • floral • flor de naranja • tierra,"9.5%-
11.5%",Propósito doble,Chinook | Galena | Nugget | Zeus | Columbus
"Centennial, Hop Extract",limón • floral • flor naranja,48.80%,Propósito doble,Chinook | Galena | Nugget | Zeus | Columbus
"Centennial, Hop Hash",limón • floral • flor naranja,32%,Propósito doble,Chinook | Galena | Nugget | Zeus | Columbus
Challenger,cedro • té verde • fruto dulce,6.5%-9%,Propósito doble,"Perle, USA"
Chelan,leve,12%-14.5%,Amargo,Galena | Nugget
Chinook,pomelo • picante • pino,12%-14%,Propósito doble,Galena | Eroica | Nugget | Bullion
"Chinook, Hop Extract",pomelo • picante • pino,58.80%,Propósito doble,Galena | Eroica | Nugget | Bullion
"Chinook, NZ",pomelo • picante • pino,12%-14%,Propósito doble,Galena | Eroica | Nugget | Bullion
Citra,pomelo • melón • lima • esposa • fruta de pasión,10%-15%,Propósito doble,Simcoe | Cascade | Centennial
"Citra, Cryo",pomelo • melón • lima • esposa • fruta de pasión,24%-26%,Propósito doble,Simcoe | Cascade | Centennial
Cluster,floral • terroso • dulce fruto,5.5%-9%,Propósito doble,Eroica | Galena
Columbia,terroso • frutal,"6.8%-
11.5%",Propósito doble,Fuggle | Williamette
Columbus,pimienta negra • dank • cítros • terrosa • picante,14%-16%,Propósito doble,Zeus | Galena | Chinook | Nugget | Centennial | Millenium
"Columbus (Tomahawk, CTC), Hop
Hash",pimienta negra • dank • cítros • terrosa • picante,14%-18%,Propósito doble,Zeus | Chinook | Northern Brewer | Nugget | Target | Warrior | Millenium | Bullion
Comet,“americano salvaje” • hierba • pomelo,"9.4%-
12.4%",Propósito doble,Galena
Crystal,madera • verde,2.8%-4.4%,Aroma,"Liberty | Mount Hood | Hallertau, GER | Ultra"
Dana,florales • cítricos,11%-16%,Propósito doble,Bobek | Celeia
Defender,aroma,3.3%-6%,Aroma,Density
Delta,picante • melón • cítrico,5.5%-7%,Aroma,Cascade | Nelson Sauvin | Fuggle | Willamette
Denali (Exp 06277),piña • pino • cítricos,13%–15%,Propósito doble,Nugget | Zueus
Dr. Rudi,resina • pino • lemongrass,10%-12%,Propósito doble,Green Bullet
East Kent Goldings,lavanda • miel • limón • tomillo • naranja • pomelo,5%-6%,Aroma,"Golding, UK | Whitbread Golding | Progress"
Ekuanot (Equinox),melón • baya • lima • manzana • papaya • pimienta verde • mango • naranja mandarina,"14.5%-
15.5%",Aroma,Huell Melon | El Dorado
El Dorado,"cerezo • albaricoque • pera
• cítricos • sandía • hierba • madera • menta",13%-17%,Propósito doble,Galena | Ekuanot
"El Dorado, Hop Extract","cerezo • albaricoque • pera
• cítricos • sandía • hierba • madera • menta",49.80%,Propósito doble,Galena | Ekuanot
"El Dorado, Hop Hash","cerezo • albaricoque • pera
• cítricos • sandía • hierba • madera • menta",25.70%,Propósito doble,Galena | Ekuanot
Ella,floral • noble • picante • anís estrellado • pomelo,"13.4%-
19.2%",Aroma,Cascade | Citra
Endeavour,"grosella negra • loganberry
• picante • pomelo • lima",8%-10.5%,Propósito doble,Brambling Cross | Pilgram
Enigma,pinot gris • frambuesa • redcurrant • fruta tropical,"16.7%-
19.4%",Aroma,Nelson Sauvin | Huell Melon
Epic,frutal • baya,3%-5%,Propósito doble,Fuggle | Mandarina Bavaria
Eroica,fruta,"7.1%-
14.9%",Propósito doble,Bullion | Brewer’s Gold | Galena
Eukanot®,melón • baya • lima • manzana • papaya • especia,"14.5%-
15.5%",Aroma,Huell Melon | El Dorado
"Eukanot®, Cryo",melón • baya • lima • manzana • papaya • pimienta verde • mango • naranja mandarina,25.50%,Aroma,Huell Melon | El Dorado
Eureka,cítricos • melocotón • pino,18%-19%,Propósito doble,Columbus | Apollo
Falconer’s Flight,limón • pomelo,11%-12%,Propósito doble,Falconers Flight 7C’s | Cascade | Columbus | Centennial
Falconer’s Flight 7C’s Blend,frutas • cítricos • picantes • tierra,9%-10%,Propósito doble,Falconers Flight | Cascade | Columbus | Centennial
First Gold,geranio • magnolia • albaricoque • mandarina • mermelada de naranja,5.6%-9.3%,Propósito doble,Willamette | East Kent Golding |Styrian Golding
Flyer,picante • cítrico • regaliz,"8.3%-
14.5%",Propósito doble,Willamette | Goldings
"Fuggle, Organic",té verde • menta • hierba • floral,3%-5.6%,Aroma,"Fuggle, USA | Willamette | Styrian | Golding"
"Fuggle, USA",suave • madera • hierba • menta,4%-5.5%,Aroma,"Fuggle, UK | Willamette | Styrian | Golding | Tettnanger (GR)"
Fuggle,té verde • menta • hierba • floral,3%-5.6%,Aroma,"Fuggle, USA | Willamette | Styrian Golding | Tettnanger
| Newport | Wakatu"
Galaxy,pasión • melocotón • cítricos limpios,11%-16%,Propósito doble,Citra | Amarillo | Centennial
Galena,pera • piña • lima • grosella negra • pomelo,12%-14%,Aroma,Nugget | Columbus | Zeus
Gargoyle,citrus • mango,7.50%,Aroma,Cluster | Ivanhoe
German Spalt Select,noble • picante • floral • baya • cítrico,2.5%-5.5%,Aroma,Saaz
German Tradition,terrestre • néctar • hierba,5%-7%,Aroma,Hallertau Mittelfruh | Liberty | Hersbrucker
Glacier,ciruela • zarzamora • madera,3.3%-9.7%,Propósito doble,"Willamette | Fuggle, USA | Tettnanger (GR)"
"Goldings, NZ",terrestre • floral,4%-4.2%,Propósito doble,East Kent Goldings
"Goldings, UK",picante • miel • terroso,4%-7%,Aroma,Fuggle | East Kent Golding | Styrian Golding
"Goldings, USA",delicado • dulce floral,4%-6%,Aroma,Fuggle | East Kent Golding | Styrian Golding
"Goldings, B.C.",tierra • picante,4%-7%,Aroma,"East Kent Golding | Golding, USA | Fuggle | Willamette"
Green Bullet,picante • frutos secos • floral,11%-15%,Propósito doble,Dr Rudi | Liberty | Hallertauer
Hallertau. GER,flores • picantes,3.5%-3.5%,Aroma,"Hallertauer Tradition | Hallertauer Mittelfrüh | Hallertau, NZ | Crystal | Liberty | Mount Hood"
"Hallertau, NZ",floral • lima • cítrico,7%-9%,Aroma,"Hallertauer Tradition | Hallertauer Mittelfrüh | Hallertau, GER| Crystal | Liberty | Mount Hood"
"Hallertau, USA",noble • picante • floral,3.5%-5.5%,Aroma,Mount Hood | Liberty | Crystal | Hallertauer Mittelfrüh | Hallertauer Tradition
Hallertau Blanc,pasión • pomelo • piña • uva • lemongrass,9%-12%,Aroma,Nelson Sauvin
Hallertau Gold,noble • picante,7%-10%,Aroma,Hallertauer Mittelfrüh | Tettnanger | East Kent Golding
Hallertau Magnum,limpio • cítricos,11%-16%,Amargo,"Hallertauer Taurus | Columbus
| Nugget"
Hallertau Taurus,grosella negra • pimienta • picante,"12.3%-
17.9%",Propósito doble,"Citra | Magnum, USA | Tradition"
Hallertau Tradition,hierba • té • naranja • lavanda,4.6%-7%,Aroma,Hallertau Mittelfrüh | Liberty
Hallertauer Mittelfrüh,hierba • té • cítricos,3.0%-5.5%,Aroma,"Liberty | Hallertau, USA"
Helga (Southern Hallertau),agradable • noble,5.4%-7.3%,Aroma,Mount Hood | Hallertauer Mittelfrüh
Herald,naranja • pomelo,"11.9%-
12.8%",Propósito doble,Pioneer
Herkules,robusto • melón,12%-17%,Propósito doble,Chinook
Hersbrucker,frutas • tabaco • naranja,2%-5%,Aroma,Hallertauer Tradition | Spalter Select | Mount Hood | Strisselspalter | Hallertau | Liberty
Horizon,ramo de flores • picante • cítrico,"8.8%-
16.5%",Propósito doble,Hallertauer Magnum
Huell Melon,melón • fresa • fruta tropical • naranja • vainilla,6.9%-7.5%,Aroma,Ekuanot | Cascade
